,anion_volume,ce_fraction,ce_symbol,csm,mp-id
0,16.87,1.0,others,4.927,mp-841
1,17.42,1.0,O:6,0.608,mp-18988
2,19.508,1.0,T:4,3.701,mp-1199215
3,20.092,1.0,O:6,0.116,mp-1210954
4,20.02,1.0,T:4,2.904,mp-1205078
5,21.302,1.0,O:6,1.284,mp-17854
6,19.539,1.0,O:6,0.073,mp-1078209
7,24.26,1.0,others,18.833,mp-9059
8,26.639,1.0,others,16.222,mp-770533
9,35.319,1.0,T:4,0.41,mp-652866
10,21.203,1.0,O:6,0.05,mp-11992
11,36.0,1.0,others,12.052,mp-559117
12,22.201,1.0,others,2.446,mp-557467
13,31.335,1.0,T:4,0.135,mp-1212005
14,24.584,1.0,T:4,0.543,mp-558102
15,35.966,1.0,T:4,5.785,mp-561474
16,28.672,1.0,others,14.308,mp-557268
17,27.66,1.0,others,14.669,mp-504806
18,29.172,1.0,others,5.079,mp-559106
19,27.14,1.0,others,4.171,mp-562137
20,22.634,1.0,others,1.475,mp-6342
21,36.811,1.0,T:4,1.495,mp-557473
22,26.944,1.0,T:4,1.598,mp-18002
23,33.278,1.0,others,18.029,mp-765535
24,21.585,1.0,T:4,0.392,mp-1185315
25,31.652,1.0,others,8.571,mp-761715
26,21.862,1.0,O:6,0.076,mp-19377
27,20.226,1.0,others,1.116,mp-1194523
28,22.851,1.0,others,1.351,mp-1191787
29,21.181,1.0,others,3.156,mp-7610
30,20.359,1.0,O:6,0.132,mp-12448
31,18.28,1.0,O:6,0.724,mp-1190195
32,24.49,1.0,T:4,0.106,mp-7688
33,18.75,1.0,O:6,0.528,mp-37620
34,20.432,1.0,O:6,7.283,mp-552663
35,20.655,1.0,others,5.679,mp-6565
36,18.501,1.0,others,0.284,mp-31800
37,19.072,1.0,others,4.864,mp-31833
38,19.177,1.0,others,2.45,mp-1101512
39,20.551,1.0,others,1.795,mp-10517
40,23.594,1.0,T:4,0.173,mp-18048
41,33.485,1.0,others,18.148,mp-551092
42,29.136,1.0,T:4,1.094,mp-1223469
43,17.884,1.0,O:6-T:4,0.686,mp-704943
44,21.671,1.0,T:4,1.229,mp-17288
45,22.699,1.0,T:4,0.137,mp-8184
46,17.985,1.0,O:6-T:4,0.695,mp-772981
47,20.591,1.0,others,0.277,mp-1210963
48,30.718,1.0,T:4,0.361,mp-1199453
49,20.662,1.0,O:6-T:4,1.034,mp-555965
50,17.881,1.0,O:6,0.622,mp-774155
51,25.053,1.0,others,6.045,mp-19511
52,21.973,1.0,T:4,4.063,mp-6412
53,31.913,1.0,T:4,1.198,mp-18422
54,21.305,1.0,O:6,1.417,mp-25044
55,20.177,1.0,O:6,0.132,mp-11904
56,24.238,1.0,T:4,0.632,mp-9066
57,39.699,1.0,T:4,2.098,mp-14364
58,35.566,1.0,T:4,2.162,mp-14363
59,19.93,1.0,T:4,5.171,mp-1211004
60,19.118,1.0,O:6,8.362,mp-18878
61,20.681,1.0,others,5.687,mp-556256
62,20.525,1.0,O:6,1.551,mp-542932
63,23.053,1.0,T:4,0.484,mp-557293
64,17.95,1.0,O:6,0.473,mp-12185
65,36.969,1.0,T:4,3.085,mp-759900
66,22.725,1.0,others,2.939,mp-7611
67,25.05,1.0,others,7.194,mp-556902
68,20.811,1.0,others,6.564,mp-1211233
69,21.718,1.0,others,4.83,mp-15363
70,21.109,1.0,others,6.616,mp-1211079
71,26.648,1.0,T:4,0.627,mp-578869
72,39.136,1.0,T:4,1.869,mp-18722
73,18.927,1.0,T:4,0.167,mp-1222353
74,124.198,1.0,O:6,1.284,mp-1177857
75,17.564,1.0,O:6-T:4,0.378,mp-691115
76,21.736,1.0,others,6.64,mp-581285
77,21.651,1.0,T:4,1.986,mp-559706
78,26.056,1.0,others,2.705,mp-5990
79,21.337,1.0,O:6,0.969,mp-772258
80,28.483,1.0,others,10.793,mp-555082
81,23.877,1.0,others,6.448,mp-1019607
82,22.627,1.0,others,6.466,mp-1020664
83,23.572,1.0,others,4.617,mp-560189
84,17.919,1.0,T:4,1.115,mp-553926
85,18.814,1.0,others,1.738,mp-1210986
86,17.764,1.0,T:4,0.061,mp-771112
87,17.979,1.0,O:6-T:4,0.376,mp-698582
88,19.912,1.0,T:4,0.634,mp-766795
89,26.733,1.0,others,2.154,mp-7020
90,18.182,1.0,T:4,1.939,mp-8873
91,21.122,1.0,T:4,1.595,mp-556655
