,anion_volume,ce_fraction,ce_symbol,csm,mp-id
0,32.094,1.0,T:4,0.0,mp-1211167
1,39.654,1.0,T:4,0.942,mp-558219
2,55.373,1.0,others,10.118,mp-559238
3,42.457,1.0,T:4,0.565,mp-557892
4,44.151,1.0,others,7.972,mp-554076
5,29.996,1.0,T:4,0.095,mp-1045401
6,37.317,1.0,others,4.507,mp-675779
7,40.091,1.0,O:6,0.012,mp-15791
8,40.507,1.0,O:6,0.014,mp-15790
9,52.805,1.0,T:4,2.525,mp-760375
10,41.057,1.0,O:6,0.03,mp-15788
11,64.699,1.0,T:4,1.19,mp-573030
12,41.404,1.0,O:6,0.037,mp-1222297
13,45.449,1.0,others,3.364,mp-1195718
14,36.219,1.0,others,6.297,mp-1181012
15,43.091,1.0,O:6,0.104,mp-1222296
16,41.879,1.0,O:6,0.061,mp-1222370
17,48.218,1.0,others,13.885,mp-1177695
18,48.157,1.0,others,16.537,mp-30959
19,53.46,1.0,others,1.8,mp-8452
20,31.865,1.0,O:6,0.523,mp-4226
21,66.006,1.0,others,2.68,mp-8430
22,35.63,1.0,others,0.043,mp-1207212
23,35.851,1.0,O:6,0.048,mp-1001786
24,36.866,1.0,O:6,0.154,mp-1190364
25,41.634,1.0,O:6-T:4,1.702,mp-985583
26,59.607,1.0,others,16.298,mp-1225887
27,61.255,1.0,others,16.946,mp-1225894
28,44.879,1.0,T:4,0.019,mp-1105291
29,46.767,1.0,T:4,0.029,mp-1188784
30,55.748,1.0,others,15.701,mp-1219554
31,44.042,1.0,T:4,0.037,mp-555186
32,40.448,1.0,others,1.884,mp-1021497
33,52.7,1.0,others,14.519,mp-1220967
34,46.854,1.0,others,14.497,mp-1220972
35,54.843,1.0,others,15.854,mp-753940
36,51.739,1.0,others,0.475,mp-767165
37,52.822,1.0,others,15.224,mp-774907
38,41.801,1.0,T:4,3.104,mp-672252
39,64.305,1.0,T:4,2.335,mp-510338
40,38.497,1.0,T:4,0.882,mp-11175
41,41.826,1.0,T:4,0.155,mp-1192995
42,43.821,1.0,T:4,0.062,mp-1189383
43,41.684,1.0,others,1.792,mp-629443
44,41.032,1.0,T:4,0.2,mp-1210804
45,42.678,1.0,others,1.831,mp-19896
46,59.142,1.0,others,1.316,mp-553962
47,39.595,1.0,others,2.741,mp-1223032
48,59.197,1.0,others,1.364,mp-556085
49,47.537,1.0,others,4.311,mp-554395
50,36.668,1.0,O:6,1.1,mp-1188124
51,33.426,1.0,T:4,0.0,mp-1211182
52,40.892,1.0,others,6.025,mp-720509
53,42.843,1.0,others,5.994,mp-30249
54,72.47,1.0,others,3.136,mp-8751
55,40.933,1.0,O:6,0.028,mp-15789
56,31.627,1.0,O:6,0.984,mp-755664
57,45.004,1.0,others,5.871,mp-28471
58,40.382,1.0,O:6,0.432,mp-555874
59,31.643,1.0,O:6,0.868,mp-1223278
60,31.941,1.0,O:6,0.555,mp-9615
61,43.508,1.0,others,6.075,mp-766540
62,40.623,1.0,T:4,0.113,mp-1106183
63,36.869,1.0,others,0.118,mp-1206759
64,35.909,1.0,O:6,0.126,mp-1222722
65,58.653,1.0,O:6,9.216,mp-29829
66,52.306,1.0,others,11.745,mp-15999
67,46.886,1.0,T:4,0.071,mp-1188392
68,41.237,1.0,T:4,0.078,mp-3647
69,32.644,1.0,others,7.002,mp-532413
70,36.748,1.0,others,1.303,mp-29410
71,42.97,1.0,T:4,3.558,mp-5614
