,anion_type,e_above_hull,mp_id,pretty_formula,rms,spacegroup.symbol
0,none,0,mp-841,Li2O2,none,P6_3/mmc
1,fcc,0,mp-18988,Li2MnO3,0.066,C2/m
2,none,0,mp-1199215,LiSm(PO3)4,none,C2/c
3,none,0,mp-1210954,LiSm2RuO6,none,P2_1/c
4,none,0,mp-1205078,LiCe(PO3)4,none,C2/c
5,hcp,0,mp-17854,LiInGeO4,0.093,Pnma
6,none,0,mp-1078209,LiLa2FeO6,none,R-3
7,none,0,mp-9059,KLi6TaO6,none,R-3m
8,fcc,0,mp-770533,Li6MnO4,0.057,P4_2/nmc
9,none,0,mp-652866,K11LiMn4O16,none,I-42m
10,none,0,mp-11992,LiLa2IrO6,none,P2_1/c
11,none,0,mp-559117,KLiMnO2,none,C2/m
12,none,0,mp-557467,Li4Ca(BO3)2,none,Pnnm
13,none,0,mp-1212005,KLiWO4,none,P2_1/c
14,none,0,mp-558102,KLiSi2O5,none,P2_1
15,none,0,mp-561474,K3LiSiO4,none,P2_1/c
16,none,0,mp-557268,KLi4AlO4,none,P2_1/c
17,none,0,mp-504806,K2Li14Pb3O14,none,Immm
18,none,0,mp-559106,KLi3PbO4,none,P-1
19,none,0,mp-562137,KLiCO3,none,P2_1/c
20,none,0,mp-6342,LiCa3RuO6,none,R-3c
21,none,0,mp-557473,K5LiGe2O7,none,P2_1/c
22,none,0,mp-18002,KLi3GeO4,none,P-1
23,none,0,mp-765535,KLiCoO2,none,C2/m
24,none,0,mp-1185315,Li3La3(MoO6)2,none,Ia-3d
25,none,0,mp-761715,K2Li3CoO4,none,P2_1/c
26,none,0,mp-19377,LiLa2MoO6,none,P2_1/c
27,none,0,mp-1194523,Li2CaTa2O7,none,Pnma
28,none,0,mp-1191787,LiCa3OsO6,none,R-3c
29,none,0,mp-7610,Li2CaSiO4,none,I-42m
30,none,0,mp-12448,LiSm2OsO6,none,P2_1/c
31,hcp,0,mp-1190195,LiIn(WO4)2,0.033,C2/c
32,hcp,0,mp-7688,Li2CdGeO4,0.094,Pmn2_1
33,fcc,0,mp-37620,LiMnO2,0.061,I4_1/amd
34,none,0,mp-552663,LiScAs2O7,none,C2
35,none,0,mp-6565,Li3Sc2(PO4)3,none,P2_1/c
36,none,0,mp-31800,LiFe2P3O10,none,P2_1/m
37,none,0,mp-31833,Li2Fe3(P2O7)2,none,P2_1/c
38,none,0,mp-1101512,LiFeP2O7,none,P2_1/c
39,none,0,mp-10517,LiScP2O7,none,P2_1
40,none,0,mp-18048,LiZnAsO4,none,R3
41,none,0,mp-551092,KLiZnO2,none,C2/m
42,none,0,mp-1223469,KLiZn3O4,none,Cm
43,fcc,0,mp-704943,Li2Mn3ZnO8,0.088,P2_13
44,none,0,mp-17288,Li2ZnSiO4,none,P2_1/c
45,hcp,0,mp-8184,Li2ZnGeO4,0.058,Pc
46,fcc,0,mp-772981,Li2Zn3(Ge3O8)2,0.095,P2_1
47,none,0,mp-1210963,Li2Zn2(MoO4)3,none,Pnma
48,none,0,mp-1199453,KLiMoO4,none,P6_3
49,none,0,mp-555965,Li2ZnSn3O8,none,Cmc2_1
50,fcc,0,mp-774155,Li2FeO3,0.067,C2
51,fcc,0,mp-19511,Li5FeO4,0.083,Pbca
52,none,0,mp-6412,Li2CuP2O7,none,C2/c
53,none,0,mp-18422,RbLiZn2O3,none,P4_2/mnm
54,hcp,0,mp-25044,LiMnAsO4,0.099,Pnma
55,none,0,mp-11904,LiSm2IrO6,none,P2_1/c
