,anion_type,e_above_hull,mp_id,pretty_formula,rms,spacegroup.symbol
0,fcc,0.0,mp-1211167,LiCr4GaS8,0.0,F-43m
1,none,0.0,mp-558219,SrLi(BS2)3,none,Cc
2,none,0.0,mp-559238,CsLi2BS3,none,Pnma
3,none,0.0,mp-557892,BaLi(BS2)3,none,Cc
4,none,0.0,mp-554076,BaLiBS3,none,P2_1/c
5,fcc,0.0,mp-1045401,Li(MnS2)2,0.068,Fd-3m
6,none,0.0,mp-675779,Li2Mo3S4,none,P1
7,fcc,0.0,mp-15791,LiErS2,0.0,R-3m
8,fcc,0.0,mp-15790,LiHoS2,0.0,R-3m
9,fcc,0.0,mp-760375,Li3VS4,0.111,P-43m
10,fcc,0.0,mp-15788,LiYS2,0.0,R-3m
11,none,0.0,mp-573030,Cs2LiNbS4,none,P-1
12,fcc,0.0,mp-1222297,LiTbS2,0.0,R-3m
13,hcp,0.0,mp-1195718,Li4SnS4,0.056,Pnma
14,none,0.0,mp-1181012,Li4Re6S11,none,Pccn
15,fcc,0.0,mp-1222296,LiSmS2,0.0,R-3m
16,fcc,0.0,mp-1222370,LiGdS2,0.0,R-3m
17,fcc,0.0,mp-1177695,Li3CuS2,0.049,Ibam
18,none,0.0,mp-30959,LiHS,none,P4_2/mbc
19,fcc,0.0,mp-8452,NaLiS,0.056,P4/nmm
20,hcp,0.0,mp-4226,LiCrS2,0.052,P-3m1
21,fcc,0.0,mp-8430,KLiS,0.103,P4/nmm
22,none,0.0,mp-1207212,LiHfS2,none,R3m
23,fcc,0.0,mp-1001786,LiScS2,0.0,R-3m
24,fcc,0.0,mp-1190364,Li2SnS3,0.021,C2/c
25,hcp,0.0,mp-985583,Li3PS4,0.121,Pnma
26,none,0.0,mp-1225887,CsLiZnS2,none,I-4m2
27,none,0.0,mp-1225894,CsLiMnS2,none,I-4m2
28,hcp,0.0,mp-1105291,Li2MnSnS4,0.0,Pc
29,hcp,0.0,mp-1188784,Li2CdSnS4,0.001,Pmn2_1
30,none,0.0,mp-1219554,RbLiZnS2,none,I-4m2
31,hcp,0.0,mp-555186,Li2ZnSnS4,0.004,Pc
32,none,0.0,mp-1021497,Li2SiSnS4,none,I-42m
33,hcp,0.0,mp-1220967,NaLiCdS2,0.004,P3m1
34,hcp,0.0,mp-1220972,NaLiZnS2,0.035,P3m1
35,none,0.0,mp-753940,KLiMnS2,none,I-4m2
36,none,0.0,mp-767165,K2LiVS4,none,Cc
37,none,0.0,mp-774907,KLiZnS2,none,I-4m2
38,none,0.0,mp-672252,LiEuPS4,none,I4_1/acd
39,none,0.0,mp-510338,Cs2LiVS4,none,Fddd
40,bcc,0.0,mp-11175,LiZnPS4,0.09,I-4
41,hcp,0.0,mp-1192995,Li4MnGe2S7,0.055,Cc
42,hcp,0.0,mp-1189383,Li2CdGeS4,0.063,Pmn2_1
43,none,0.0,mp-629443,Li2EuGeS4,none,I-42m
