,e_above_hull,elements,material_id,nelements,pretty_formula,spacegroup.symbol
0,0,"['Li', 'O']",mp-841,2,Li2O2,P6_3/mmc
1,0,"['Li', 'Mn', 'O']",mp-18988,3,Li2MnO3,C2/m
2,0,"['Li', 'O', 'P', 'Sm']",mp-1199215,4,LiSm(PO3)4,C2/c
3,0,"['Li', 'O', 'Ru', 'Sm']",mp-1210954,4,LiSm2RuO6,P2_1/c
4,0,"['Ce', 'Li', 'O', 'P']",mp-1205078,4,LiCe(PO3)4,C2/c
5,0,"['Ge', 'In', 'Li', 'O']",mp-17854,4,LiInGeO4,Pnma
6,0,"['Fe', 'La', 'Li', 'O']",mp-1078209,4,LiLa2FeO6,R-3
7,0,"['K', 'Li', 'O', 'Ta']",mp-9059,4,KLi6TaO6,R-3m
8,0,"['Li', 'Mn', 'O']",mp-770533,3,Li6MnO4,P4_2/nmc
9,0,"['K', 'Li', 'Mn', 'O']",mp-652866,4,K11LiMn4O16,I-42m
10,0,"['Ir', 'La', 'Li', 'O']",mp-11992,4,LiLa2IrO6,P2_1/c
11,0,"['K', 'Li', 'Mn', 'O']",mp-559117,4,KLiMnO2,C2/m
12,0,"['B', 'Ca', 'Li', 'O']",mp-557467,4,Li4Ca(BO3)2,Pnnm
13,0,"['K', 'Li', 'O', 'W']",mp-1212005,4,KLiWO4,P2_1/c
14,0,"['K', 'Li', 'O', 'Si']",mp-558102,4,KLiSi2O5,P2_1
15,0,"['K', 'Li', 'O', 'Si']",mp-561474,4,K3LiSiO4,P2_1/c
16,0,"['Al', 'K', 'Li', 'O']",mp-557268,4,KLi4AlO4,P2_1/c
17,0,"['K', 'Li', 'O', 'Pb']",mp-504806,4,K2Li14Pb3O14,Immm
18,0,"['K', 'Li', 'O', 'Pb']",mp-559106,4,KLi3PbO4,P-1
19,0,"['C', 'K', 'Li', 'O']",mp-562137,4,KLiCO3,P2_1/c
20,0,"['Ca', 'Li', 'O', 'Ru']",mp-6342,4,LiCa3RuO6,R-3c
21,0,"['Ge', 'K', 'Li', 'O']",mp-557473,4,K5LiGe2O7,P2_1/c
22,0,"['Ge', 'K', 'Li', 'O']",mp-18002,4,KLi3GeO4,P-1
23,0,"['Co', 'K', 'Li', 'O']",mp-765535,4,KLiCoO2,C2/m
24,0,"['La', 'Li', 'Mo', 'O']",mp-1185315,4,Li3La3(MoO6)2,Ia-3d
25,0,"['Co', 'K', 'Li', 'O']",mp-761715,4,K2Li3CoO4,P2_1/c
26,0,"['La', 'Li', 'Mo', 'O']",mp-19377,4,LiLa2MoO6,P2_1/c
27,0,"['Ca', 'Li', 'O', 'Ta']",mp-1194523,4,Li2CaTa2O7,Pnma
28,0,"['Ca', 'Li', 'O', 'Os']",mp-1191787,4,LiCa3OsO6,R-3c
29,0,"['Ca', 'Li', 'O', 'Si']",mp-7610,4,Li2CaSiO4,I-42m
30,0,"['Li', 'O', 'Os', 'Sm']",mp-12448,4,LiSm2OsO6,P2_1/c
31,0,"['In', 'Li', 'O', 'W']",mp-1190195,4,LiIn(WO4)2,C2/c
32,0,"['Cd', 'Ge', 'Li', 'O']",mp-7688,4,Li2CdGeO4,Pmn2_1
33,0,"['Li', 'Mn', 'O']",mp-37620,3,LiMnO2,I4_1/amd
34,0,"['Li', 'Sc', 'As', 'O']",mp-552663,4,LiScAs2O7,C2
35,0,"['Li', 'O', 'P', 'Sc']",mp-6565,4,Li3Sc2(PO4)3,P2_1/c
36,0,"['Fe', 'Li', 'O', 'P']",mp-31800,4,LiFe2P3O10,P2_1/m
37,0,"['Fe', 'Li', 'O', 'P']",mp-31833,4,Li2Fe3(P2O7)2,P2_1/c
38,0,"['Fe', 'Li', 'O', 'P']",mp-1101512,4,LiFeP2O7,P2_1/c
39,0,"['Li', 'O', 'P', 'Sc']",mp-10517,4,LiScP2O7,P2_1
40,0,"['As', 'Li', 'O', 'Zn']",mp-18048,4,LiZnAsO4,R3
41,0,"['K', 'Li', 'Zn', 'O']",mp-551092,4,KLiZnO2,C2/m
42,0,"['K', 'Li', 'O', 'Zn']",mp-1223469,4,KLiZn3O4,Cm
43,0,"['Li', 'Mn', 'O', 'Zn']",mp-704943,4,Li2Mn3ZnO8,P2_13
44,0,"['Li', 'O', 'Si', 'Zn']",mp-17288,4,Li2ZnSiO4,P2_1/c
45,0,"['Ge', 'Li', 'O', 'Zn']",mp-8184,4,Li2ZnGeO4,Pc
46,0,"['Ge', 'Li', 'O', 'Zn']",mp-772981,4,Li2Zn3(Ge3O8)2,P2_1
47,0,"['Li', 'Mo', 'O', 'Zn']",mp-1210963,4,Li2Zn2(MoO4)3,Pnma
48,0,"['K', 'Li', 'Mo', 'O']",mp-1199453,4,KLiMoO4,P6_3
49,0,"['Li', 'O', 'Sn', 'Zn']",mp-555965,4,Li2ZnSn3O8,Cmc2_1
50,0,"['Li', 'Fe', 'O']",mp-774155,3,Li2FeO3,C2
51,0,"['Fe', 'Li', 'O']",mp-19511,3,Li5FeO4,Pbca
52,0,"['Cu', 'Li', 'O', 'P']",mp-6412,4,Li2CuP2O7,C2/c
53,0,"['Li', 'O', 'Rb', 'Zn']",mp-18422,4,RbLiZn2O3,P4_2/mnm
54,0,"['As', 'Li', 'Mn', 'O']",mp-25044,4,LiMnAsO4,Pnma
55,0,"['Ir', 'Li', 'O', 'Sm']",mp-11904,4,LiSm2IrO6,P2_1/c
56,0,"['As', 'Li', 'Na', 'O']",mp-9066,4,NaLi2AsO4,Pmn2_1
57,0,"['As', 'Cs', 'Li', 'O']",mp-14364,4,Cs2LiAsO4,Cmc2_1
58,0,"['As', 'Li', 'O', 'Rb']",mp-14363,4,Rb2LiAsO4,Cmc2_1
59,0,"['Li', 'O', 'Sm', 'W']",mp-1211004,4,LiSm(WO4)2,P-1
60,0,"['Li', 'Fe', 'As', 'O']",mp-18878,4,LiFeAs2O7,C2
61,0,"['As', 'Fe', 'Li', 'O']",mp-556256,4,Li3Fe2(AsO4)3,P2_1/c
62,0,"['As', 'Fe', 'Li', 'O']",mp-542932,4,LiFeAsO4,Pnma
63,0,"['Cd', 'Li', 'O', 'Si']",mp-557293,4,Li2CdSiO4,Pnma
64,0,"['Cu', 'Li', 'O', 'P']",mp-12185,4,LiCu(PO3)3,P2_12_12_1
65,0,"['K', 'Li', 'Nb', 'O']",mp-759900,4,K2LiNbO4,P2_1/c
66,0,"['Ca', 'Ge', 'Li', 'O']",mp-7611,4,Li2CaGeO4,I-42m
