,e_above_hull,elements,material_id,nelements,pretty_formula,spacegroup.symbol
1,0,"['Cr', 'Ga', 'Li', 'S']",mp-1211167,4,LiCr4GaS8,F-43m
2,0,"['B', 'Li', 'S', 'Sr']",mp-558219,4,SrLi(BS2)3,Cc
3,0,"['B', 'Cs', 'Li', 'S']",mp-559238,4,CsLi2BS3,Pnma
4,0,"['B', 'Ba', 'Li', 'S']",mp-557892,4,BaLi(BS2)3,Cc
5,0,"['B', 'Ba', 'Li', 'S']",mp-554076,4,BaLiBS3,P2_1/c
6,0,"['Li', 'Mn', 'S']",mp-1045401,3,Li(MnS2)2,Fd-3m
7,0,"['Li', 'Mo', 'S']",mp-675779,3,Li2Mo3S4,P1
8,0,"['Li', 'Er', 'S']",mp-15791,3,LiErS2,R-3m
9,0,"['Ho', 'Li', 'S']",mp-15790,3,LiHoS2,R-3m
10,0,"['Li', 'V', 'S']",mp-760375,3,Li3VS4,P-43m
11,0,"['Li', 'Y', 'S']",mp-15788,3,LiYS2,R-3m
12,0,"['Cs', 'Li', 'Nb', 'S']",mp-573030,4,Cs2LiNbS4,P-1
13,0,"['Li', 'S', 'Tb']",mp-1222297,3,LiTbS2,R-3m
14,0,"['Li', 'S', 'Sn']",mp-1195718,3,Li4SnS4,Pnma
15,0,"['Li', 'Re', 'S']",mp-1181012,3,Li4Re6S11,Pccn
16,0,"['Li', 'S', 'Sm']",mp-1222296,3,LiSmS2,R-3m
17,0,"['Gd', 'Li', 'S']",mp-1222370,3,LiGdS2,R-3m
18,0,"['Cu', 'Li', 'S']",mp-1177695,3,Li3CuS2,Ibam
19,0,"['H', 'Li', 'S']",mp-30959,3,LiHS,P4_2/mbc
20,0,"['Na', 'Li', 'S']",mp-8452,3,NaLiS,P4/nmm
21,0,"['Li', 'Cr', 'S']",mp-4226,3,LiCrS2,P-3m1
22,0,"['K', 'Li', 'S']",mp-8430,3,KLiS,P4/nmm
23,0,"['Hf', 'Li', 'S']",mp-1207212,3,LiHfS2,R3m
24,0,"['Li', 'Sc', 'S']",mp-1001786,3,LiScS2,R-3m
25,0,"['Li', 'S', 'Sn']",mp-1190364,3,Li2SnS3,C2/c
